sku,_store,_attribute_set,_type,_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,enable_googlecheckout,gallery,gift_message_available,has_options,image,image_label,is_imported,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
anillotest1,,anillos,simple,Anillos,base,,,,"2011-09-30 10:10:22",,,,,AnilloTest1,1,,,0,/1/_/1.jpg,,No,,,,,,,,"Usar configuración","Usar configuración",AnilloTest1,,,"Bloque después de la columna de Información",,1.0000,0,AnilloTest1,/2/_/2.jpg,,,,,1,2,/3/_/3.jpg,,"2011-10-04 09:18:30",anillotest1,anillotest1.html,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,,,,,,,,,,,,,,80,/1/_/1.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/2/_/2.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/3/_/3.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/4/_/4.jpg,,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/5/_/5.jpg,,5,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/6/_/6.jpg,,6,0
ColganteTest1,,colgantes,simple,Colgantes,base,,,,"2011-09-30 10:13:04",,,,,ColganteTest1,1,,,0,/r/e/ref2002.jpg,,No,,,,,,,,"Usar configuración","Usar configuración",ColganteTest1,,,"Bloque después de la columna de Información",,1.0000,0,ColganteTest1,/r/e/ref2002.jpg,,,,,1,2,/r/e/ref2002.jpg,,"2011-10-11 14:10:10",colgantetest1,colgantetest1.html,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,,,,,,,,,,,,,,80,/r/e/ref2002.jpg,,1,0
LlaveroTest1,,llaveros,simple,Llaveros,base,,,,"2011-09-30 10:14:09",,,,,LlaveroTest1,1,,,0,/4/8/48.jpg,,No,,,,,,,,"Usar configuración","Usar configuración",LlaveroTest1,,,"Bloque después de la columna de Información",,1.0000,0,LlaveroTest1,/1/9/19.jpg,,,,,1,2,/1/1/11.jpg,,"2011-10-03 15:44:58",llaverotest1,llaverotest1.html,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,,,,,,,,,,,,,,80,/4/8/48.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/1/9/19.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/1/1/11.jpg,,3,0
